nombre,codigo,categoria,caducidad,marca,precio,cantidad
JugoNaranja,100001,Bebidas,2027-01-01,Kerns,18.92,54
Pan,100002,Panaderia,2027-09-09,Bimbo,11.33,183
Cereal,100003,Despensa,2026-12-05,Kelloggs,9.93,166
ArrozBlanco,100004,Despensa,2027-05-31,ElGranjero,4.43,90
CerealLentejas,100005,Despensa,2026-12-13,GreatValue,3.53,148
JugoManzana,100006,Bebidas,2027-06-10,DosPinos,2.87,95
Pasta,100007,Despensa,2027-08-31,Ina,17.14,9
JugoPera,100008,Bebidas,2027-04-12,Naturas,15.53,135
Arroz,100009,Despensa,2026-11-21,SanPedro,15.33,115
GalletasFresa,100010,Despensa,2027-08-17,Gama,14.02,122
LecheA,100011,Lacteos,2026-03-27,Lala,15.0,81
LecheB,100012,Lacteos,2026-11-17,DosPinos,4.02,7
CerealAritos,100013,Despensa,2027-02-09,Nestle,11.89,66
JugoDurazno,100014,Bebidas,2027-01-11,DelFrutal,11.58,137
GalletasVainilla,100015,Despensa,2026-01-07,Pozuelo,19.38,156
ArrozAmarillo,100016,Despensa,2026-04-25,ArrozDorado,12.62,33
AceiteVegetal,100017,Despensa,2026-11-07,Mazola,11.29,22
PanIntegral,100018,Panaderia,2026-02-18,Blanco,2.3,159
PanDulce,100019,Panaderia,2027-05-14,LaCestera,8.24,197
GalletasChocolate,100020,Despensa,2027-11-09,Diana,11.37,178
CafeA,100021,Despensa,2026-08-05,Musun,6.26,197
GalletasMora,100022,Despensa,2027-04-09,Gamesa,2.89,94
CafeB,100023,Despensa,2027-01-11,Nescafe,7.77,14
AzucarBlanco,100024,Despensa,2027-04-24,CanaReal,8.77,28
Aceite,100025,Despensa,2027-05-22,Ideal,11.1,199
PanFrances,100026,Panaderia,2026-12-18,LaCana,7.25,176
CerealVainilla,100027,Despensa,2026-09-15,GranDia,4.07,58
LecheC,100028,Lacteos,2027-10-13,Nido,14.82,146
LecheD,100029,Lacteos,2026-05-21,Anchor,2.04,50
GalletasUva,100030,Despensa,2027-01-02,Maria,2.76,140
CerealColores,100031,Despensa,2027-08-14,Quaker,18.53,108
CerealEstrella,100032,Despensa,2026-03-15,CornFlakes,3.48,40
ArrozQuebrado,100033,Despensa,2027-03-10,Progreso,2.87,125
AceiteOliva,100034,Despensa,2027-04-25,Faro,7.3,41
CerealChocolate,100035,Despensa,2027-07-19,Trix,2.87,157
AceiteMaiz,100036,Despensa,2027-09-24,Aureola,9.99,66
GalletasManzana,100037,Despensa,2026-04-18,CanCan,18.21,166
LecheE,100038,Lacteos,2026-10-07,Victoria,3.75,161
CafeC,100039,Despensa,2026-11-11,Leon,1.07,200
PanMolde,100040,Panaderia,2026-08-28,SanMartin,2.56,13
GalletasNaranja,100041,Despensa,2026-09-29,ClubExtra,5.67,154
CerealCaramelo,100042,Despensa,2027-02-19,Zucaritas,15.98,67
ArrozEntero,100043,Despensa,2027-10-06,Molinero,18.48,90
Galletas,100044,Despensa,2026-12-11,Ritz,11.42,180
PanBanano,100045,Panaderia,2027-07-03,Vital,7.92,36
Cafe,100046,Despensa,2026-06-24,ColCafe,3.23,156
Azucar,100047,Despensa,2026-04-19,Morena,12.75,135
PanPina,100048,Panaderia,2027-02-24,LaMejor,1.13,22
PastaCorbata,100049,Despensa,2026-01-16,Moderna,9.46,77
LecheF,100050,Lacteos,2027-05-21,Nesquik,6.52,93
