nombre,codigo,categoria,caducidad,marca,precio,cantidad
Jugo,100001,Bebidas,2027-01-01,Kerns,18.92,54
Pan,100002,Panaderia,2027-09-09,Bimbo,11.33,183
Cereal,100003,Despensa,2026-12-05,Kelloggs,9.93,166
Arroz,100004,Despensa,2027-05-31,ElGranjero,4.43,90
Cereal,100005,Despensa,2026-12-13,GreatValue,3.53,148
Jugo,100006,Bebidas,2027-06-10,DosPinos,2.87,95
Pasta,100007,Despensa,2027-08-31,Ina,17.14,9
Jugo,100008,Bebidas,2027-04-12,Naturas,15.53,135
Arroz,100009,Despensa,2026-11-21,SanPedro,15.33,115
Galletas,100010,Despensa,2027-08-17,Gama,14.02,122
Leche,100011,Lacteos,2026-03-27,Lala,15.0,81
Leche,100012,Lacteos,2026-11-17,DosPinos,4.02,7
Cereal,100013,Despensa,2027-02-09,Nestle,11.89,66
Jugo,100014,Bebidas,2027-01-11,DelFrutal,11.58,137
Galletas,100015,Despensa,2026-01-07,Pozuelo,19.38,156
Arroz,100016,Despensa,2026-04-25,ArrozDorado,12.62,33
Aceite,100017,Despensa,2026-11-07,Mazola,11.29,22
Pan,100018,Panaderia,2026-02-18,Blanco,2.3,159
Pan,100019,Panaderia,2027-05-14,LaCestera,8.24,197
Galletas,100020,Despensa,2027-11-09,Diana,11.37,178
Cafe,100021,Despensa,2026-08-05,Musun,6.26,197
Galletas,100022,Despensa,2027-04-09,Gamesa,2.89,94
Cafe,100023,Despensa,2027-01-11,Nescafe,7.77,14
Azucar,100024,Despensa,2027-04-24,CañaReal,8.77,28
Aceite,100025,Despensa,2027-05-22,Ideal,11.1,199
Pan,100026,Panaderia,2026-12-18,LaCaña,7.25,176
Cereal,100027,Despensa,2026-09-15,GranDia,4.07,58
Leche,100028,Lacteos,2027-10-13,Nido,14.82,146
Leche,100029,Lacteos,2026-05-21,Anchor,2.04,50
Galletas,100030,Despensa,2027-01-02,Maria,2.76,140
Cereal,100031,Despensa,2027-08-14,Quaker,18.53,108
Cereal,100032,Despensa,2026-03-15,CornFlakes,3.48,40
Arroz,100033,Despensa,2027-03-10,Progreso,2.87,125
Aceite,100034,Despensa,2027-04-25,Faro,7.3,41
Cereal,100035,Despensa,2027-07-19,Trix,2.87,157
Aceite,100036,Despensa,2027-09-24,Aureola,9.99,66
Galletas,100037,Despensa,2026-04-18,CanCan,18.21,166
Leche,100038,Lacteos,2026-10-07,Victoria,3.75,161
Cafe,100039,Despensa,2026-11-11,Leon,1.07,200
Pan,100040,Panaderia,2026-08-28,SanMartin,2.56,13
Galletas,100041,Despensa,2026-09-29,ClubExtra,5.67,154
Cereal,100042,Despensa,2027-02-19,Zucaritas,15.98,67
Arroz,100043,Despensa,2027-10-06,Molinero,18.48,90
Galletas,100044,Despensa,2026-12-11,Ritz,11.42,180
Pan,100045,Panaderia,2027-07-03,Vital,7.92,36
Cafe,100046,Despensa,2026-06-24,ColCafe,3.23,156
Azucar,100047,Despensa,2026-04-19,Morena,12.75,135
Pan,100048,Panaderia,2027-02-24,LaMejor,1.13,22
Pasta,100049,Despensa,2026-01-16,Moderna,9.46,77
Leche,100050,Lacteos,2027-05-21,Nesquik,6.52,93
